This file holdes the output for the motor test...
Samples, DesPosA, ActPosA, FxA, FyA, FzA, TxA, TyA, TzA, DesPosB, ActPosB, FxB, FyB, FzB, TxB, TyB, TzB
0,40000,-3,-0.35498,-0.0383773,0.0382934,0.00744066,0.00890249,-0.0249097,0,1,0,0,0,0,0,0
1,40000,338,-0.3459,-0.023476,0.12154,0.00741801,0.00893332,-0.0275918,0,1,0,0,0,0,0,0
2,40000,1416,-0.404347,-0.16662,0.0632559,0.00631986,0.0091756,-0.0363865,0,1,0,0,0,0,0,0
3,40000,3121,-0.391581,-0.195237,0.0905486,0.00707808,0.00920058,-0.0469152,0,1,0,0,0,0,0,0
4,40000,5490,-0.335945,-0.21313,0.159252,0.00938734,0.00834254,-0.0592065,0,1,0,0,0,0,0,0
5,40000,8610,-0.268312,-0.165867,0.492649,0.0110922,0.00785682,-0.075028,0,1,0,0,0,0,0,0
6,40000,12312,-0.201067,-0.258107,0.390326,0.0132353,0.00543498,-0.0874826,0,1,0,0,0,0,0,0
7,40000,16677,-0.159163,-0.212894,0.234557,0.0138387,0.00354369,-0.103154,0,1,0,0,0,0,0,0
8,40000,22089,-0.0993986,-0.205331,0.0311449,0.0154967,3.08057e-05,-0.110356,0,1,0,0,0,0,0,0
9,40000,27114,0.0234885,-0.17203,0.160136,0.0160745,-0.00274305,-0.114275,0,1,0,0,0,0,0,0
10,40000,30971,-0.0166352,-0.133632,0.152844,0.0183578,-0.00550392,-0.0939563,0,1,0,0,0,0,0,0
11,40000,34176,-0.107743,-0.178032,0.212021,0.0186005,-0.00710764,-0.0800498,0,1,0,0,0,0,0,0
12,40000,36841,-0.197112,-0.202733,0.4479,0.020885,-0.00739113,-0.0724306,0,1,0,0,0,0,0,0
13,40000,38709,-0.297049,-0.111507,0.177989,0.0204468,-0.00890411,-0.0669869,0,1,0,0,0,0,0,0
14,40000,39749,-0.228608,-0.137011,0.458968,0.0211876,-0.0103443,-0.0527631,0,1,0,0,0,0,0,0
15,40000,39994,-0.460691,0.198335,-0.156473,0.0172592,-0.00840595,-0.041771,0,1,0,0,0,0,0,0
16,40000,39994,-0.405442,-0.0302592,-0.0127826,0.0182057,-0.00957198,-0.0409709,0,1,0,0,0,0,0,0
17,0,39701,0.243722,0.537417,-0.0212492,0.0241925,-0.0291301,0.059891,0,1,0,0,0,0,0,0
18,0,38692,0.18003,0.45253,0.0155732,0.0253031,-0.0291867,0.0709308,0,1,0,0,0,0,0,0
19,0,37037,0.13735,0.443895,0.0456899,0.0257604,-0.0285499,0.0833454,0,1,0,0,0,0,0,0
20,0,34712,0.0919566,0.380779,0.0131471,0.0258804,-0.0280685,0.096303,0,1,0,0,0,0,0,0
21,0,31735,-0.0443555,0.314647,0.0163272,0.0266213,-0.0267956,0.109084,0,1,0,0,0,0,0,0
22,0,28196,-0.122692,0.292999,0.156672,0.0268291,-0.0247621,0.122203,0,1,0,0,0,0,0,0
23,0,23914,-0.177223,0.200095,0.201369,0.0287431,-0.0259387,0.137713,0,1,0,0,0,0,0,0
24,0,18856,-0.139056,0.270132,-0.0108556,0.0274374,-0.0254542,0.150138,0,1,0,0,0,0,0,0
25,0,14125,-0.163998,0.24358,-0.170011,0.0274687,-0.0239922,0.154803,0,1,0,0,0,0,0,0
26,0,10040,-0.131787,0.243145,-0.196515,0.0283601,-0.0210682,0.157877,0,1,0,0,0,0,0,0
27,0,6734,-0.146883,0.156447,-0.248248,0.0291761,-0.0209047,0.156472,0,1,0,0,0,0,0,0
28,0,4053,-0.143084,0.0710208,-0.0987113,0.0279227,-0.0179913,0.167838,0,1,0,0,0,0,0,0
29,0,1963,-0.160157,0.107733,-0.266974,0.0286883,-0.0203077,0.164661,0,1,0,0,0,0,0,0
30,0,642,-0.170107,0.101281,-0.300557,0.0272718,-0.0165692,0.161374,0,1,0,0,0,0,0,0
31,0,65,-0.142297,0.117271,-0.27948,0.027076,-0.0168449,0.149464,0,1,0,0,0,0,0,0
32,0,35,-0.13583,0.0717509,-0.159453,0.0263451,-0.0166725,0.137609,0,1,0,0,0,0,0,0
